product_name,category,energy_kcal_100g,fat_100g,sugars_100g,carbohydrates_100g,serving_size_g,packaging_quantity,source_url
"Muesli Raisin, Figue, Abricot","Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Cereals with fruits,Mueslis,Mueslis with fruits",352.0,5.8,14.0,59.0,60.0,,https://world.openfoodfacts.org/product/3229820129488
Menguy's Peanut 100%,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Légumineuses et dérivés,Produits à tartiner,Pâtes à tartiner végétales,Purées d'oléagineux,Beurres de légumineuses,Beurres de cacahuètes,Cacahuètes,Fruits à coques et dérivés",610.0,48.0,6.2,13.0,100.0,,https://world.openfoodfacts.org/product/3327272107969
Nutella,"de:haselnusscremes, de:brotaufstriche, en:fruhstucke, en:haselnusscremes, de:nougatcremes, en:schoko-und-haselnussaufstriche, en:susse-brotaufstriche",539.0,30.9,56.3,57.5,15.0,,https://world.openfoodfacts.org/product/4008400404127
Chocolat Noir 92% cacao,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates",580.0,49.0,10.0,14.0,10.0,,https://world.openfoodfacts.org/product/8410510012196
Biscoff Creamy,"Plant-based foods and beverages,Plant-based foods,Snacks,Breakfasts,Spreads,Sweet spreads,fr:Pâtes à tartiner,Speculoos spreads",584.0,38.1,36.8,57.0,100.0,,https://world.openfoodfacts.org/product/5410126006957
Granola L'Original,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits au chocolat,Biscuits sablés,Biscuits nappés au chocolat,Sablés nappés de chocolat,Sablés au chocolat",491.0,23.0,28.0,62.0,12.5,,https://world.openfoodfacts.org/product/7622210601988
PRESSup ORANGE 1L,"Plant-based foods and beverages, Beverages, Plant-based beverages, Fruit-based beverages, Juices and nectars, Fruit nectars, Fruit juices, Orange nectars, en:orange-juices",54.0,0.1,5.5,13.0,950.0,,https://world.openfoodfacts.org/product/6111242104198
Concentré de tomates Aicha,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Tomates et dérivés, Tomates, Concentrés de tomates",31.6,0.108,2.43,6.41,370.0,,https://world.openfoodfacts.org/product/6111021090049
Cracotte Céréales Complètes,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Tartines craquantes extrudées",380.0,2.8,7.9,75.0,7.35,,https://world.openfoodfacts.org/product/3041090063206
Special Muesli 30% fruits & noix,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Cereals with fruits,Mueslis,Mueslis with fruits",362.0,7.2,17.0,60.0,45.0,,https://world.openfoodfacts.org/product/5010477348678
Pringles Sare,"plant-based-foods-and-beverages, plant-based-foods, snacks, salty-snacks, appetizers, chips-and-fries, crisps, salty-snacks-made-from-potato, bg:чипс",530.0,31.0,0.9,55.0,30.0,,https://world.openfoodfacts.org/product/5053990101573
Greek Style Yogurt,"Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts, Greek-style yogurts",121.0,10.0,3.2,3.2,100.0,,https://world.openfoodfacts.org/product/20047559
Henry's Sable Coco Biscuit 85G,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits sablés,Sablés à la noix de coco",376.5,10.5,20.0,63.0,85.0,,https://world.openfoodfacts.org/product/3362600001106
Ricoré original,"Boissons et préparations de boissons, Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Préparations pour boissons, Boissons instantanées, Chicorée et café en poudre soluble",141.0,0.5,9.1,9.1,4.0,,https://world.openfoodfacts.org/product/7613035676497
Biscuit raisins,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits sablés,Biscuits aux fruits,Biscuit sec aux fruits,en:biscuits-et-gateaux,en:snacks-sucres",442.0,14.0,17.0,68.0,16.9,,https://world.openfoodfacts.org/product/3175681851856
Nutri+ avoine chocolat,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Chocolate biscuits,Oatmeal-cookies",454.0,18.0,17.0,61.0,100.0,,https://world.openfoodfacts.org/product/3229820794525
Quaker Rolled Oats,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Rolled flakes, Porridge, Rolled oats",368.0,8.5,1.0,63.0,40.0,,https://world.openfoodfacts.org/product/5000108022152
Mandelmilch mit Zucker,"Getränke und Getränkezubereitungen, Pflanzliche Lebensmittel und Getränke, Getränke, Milchprodukte, Pflanzliche Lebensmittel, en:Dairy substitutes, Milchersatz, en:Milks (liquid and powder), Nüsse und Nussprodukte, Pflanzliche Getränke, Milch, Pflanzenmilch, Nussmilch, Mandelmilch, fr:lait-d-amande-avec-calcium-et-vitamines-ajoutes",22.0,1.1,2.4,2.4,500.0,,https://world.openfoodfacts.org/product/5411188110835
Harrys brioche tressee nature au sucre perle sans additifs 500g,"Snacks, Snacks sucrés, Viennoiseries, Brioches, Brioches tressées, Brioches pur beurre, Brioches natures, Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Pains, en:Packaged breads",356.0,13.0,13.0,49.0,50.0,,https://world.openfoodfacts.org/product/3228857001231
Protein Cacahuetes🥜 & Chocolat🍫,"Plant-based foods and beverages,Plant-based foods,Snacks,Sweet snacks,Nuts and their products,Bars,Dietary supplements,Bodybuilding supplements,Nut bars,Peanut bars,Protein bars",488.0,28.2,17.0,27.5,40.0,,https://world.openfoodfacts.org/product/8410076610737
Tartines craquantes quinoa - pois chiche,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Cereals and their products,Extruded crispbreads",378.0,1.6,0.6,79.0,23.0,,https://world.openfoodfacts.org/product/06153153
Delicia double concentre de tomates,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Vegetables based foods, Tomatoes and their products, Tomato pastes",91.0,0.09,0.0,18.35,380.0,,https://world.openfoodfacts.org/product/6111162001201
,"Lanches comida,Lanches doces,Cacau e derivados,Confeitaria,Barras,Bombons de chocolate,Barras de chocolate,Barras de chocolate caramelo",481.0,22.5,51.8,60.5,50.0,,https://world.openfoodfacts.org/product/5000159461122
Nutritional Yeast Flakes,"Plant-based foods and beverages,Plant-based foods,Condiments,Flakes,Food additives,Nutritional yeast",349.0,5.0,1.0,19.0,5.0,,https://world.openfoodfacts.org/product/5016084000374
Sour Cream & Onion,"Snacks,Salty snacks,Appetizers,Chips and fries,Crisps,Salty snacks made from potato",525.0,30.0,2.7,56.0,30.0,,https://world.openfoodfacts.org/product/5053990155354
Spaghetti No: 5,"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Cereales y patatas,Cereales y derivados,Pastas alimenticias,en:Cereal pastas,Pasta seca,Pasta de trigo duro,Espaguetis,en:Dry durum wheat pasta,Espaguetis de trigo duro",359.0,2.0,3.5,71.0,85.0,,https://world.openfoodfacts.org/product/8076800195057
flan caram jao dan,Flans gélifiés,3.0,7.0,7.0,18.0,90.0,,https://world.openfoodfacts.org/product/6111242102019
Oméga 3® Doux,"Plant-based foods and beverages, Plant-based foods, Fats, Spreads, Plant-based spreads, Vegetable fats, Spreadable fats, Margarines, Light margarines, Unsalted margarines, Light unsalted margarines, en:salted-spreads",468.0,52.0,0.0,0.0,10.0,,https://world.openfoodfacts.org/product/3366321051983
Yaourt Nature,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Yaourts,Desserts lactés fermentés nature,Yaourts natures",66.2,3.0,6.7,6.7,110.0,,https://world.openfoodfacts.org/product/6111032002925
Crunchy avoine et miel,"Snacks,Sweet snacks,Bars,Cereal bars",467.0,18.1,26.8,64.3,42.0,,https://world.openfoodfacts.org/product/8410076601131
Biscuit lait chocolat,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Chocolate biscuits",457.0,17.0,21.0,65.0,230.0,,https://world.openfoodfacts.org/product/3175680011534
Fermented Coconut Yoghurt Alternative,"Plant-based foods and beverages,Fermented foods,Dairy substitutes,Non-dairy fermented foods,Non-dairy yogurts,Yogurts,Coconut yogurts,Coconutmilk yogurts",120.0,10.0,1.6,6.9,100.0,,https://world.openfoodfacts.org/product/0680569854124
"Muesli SuperFruits Raisins, cassis,cranberry, myrtille","Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Cereals with fruits,Mueslis,Mueslis with fruits",358.0,6.0,13.0,60.0,70.0,,https://world.openfoodfacts.org/product/3229820782560
Kiri carré 8p,"Dairies, Fermented foods, Fermented milk products, Cheeses, Creams, fr:kiri a la creme de lait, en:cheese-spreads",230.0,20.0,2.0,3.5,16.0,,https://world.openfoodfacts.org/product/6111028000980
